WAMP,Brand,Product,Wholesaler,Package,UPC,Parent Chain,Retail $,2 for $,Market
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Circle K,1.49,2.5,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Refuel Market,2.19,3,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,GPM Southeast,2.09,3.5,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,7-Eleven,1.79,3,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Spinx,1.99,3.5,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Parkers,2.29,3,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Enmark,1.69,,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Buck Magement (Blue Water),1.99,3.5,1 · Charleston
Core,Bud Light,Bud Light TWS 1/16AL,Southern Crown Partners,1/16AL,18200007958,Dollar General,1.65,,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Circle K,1.49,2.5,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Refuel Market,1.99,3,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,GPM Southeast,2.09,3.5,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,7-Eleven,1.79,3,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Spinx,1.99,3.5,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Parkers,2.29,3,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Enmark,1.99,,1 · Charleston
Core,Coors,Coors Light 1/16AL,Henry J. Lee Reyes,1/16AL,71990301033,Dollar General,1.3,,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Circle K,2.49,4,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Refuel Market,2.79,4,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,GPM Southeast,2.39,4,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Spinx,2.79,4.5,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Parkers,2.49,3.5,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Enmark,2.69,,1 · Charleston
Core Plus,Bud Light Extension,Bud Light Lime 1/16AL,Southern Crown Partners,1/16AL,18200002151,Buck Magement (Blue Water),2.79,5,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Circle K,2.49,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Refuel Market,2.79,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,GPM Southeast,2.39,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,7-Eleven,2.39,4,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Spinx,2.79,4.5,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Parkers,2.49,3.5,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Enmark,1.99,,1 · Charleston
Core Plus,Michelob Ultra,Michelob Ultra 1/16AL,Southern Crown Partners,1/16AL,18200006654,Buck Magement (Blue Water),2.79,4.75,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Circle K,2.69,4.5,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Refuel Market,2.29,4.5,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,GPM Southeast,2.89,5,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,7-Eleven,2.39,4,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Spinx,2.79,5,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Parkers,2.99,4,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Enmark,2.59,,1 · Charleston
Beyond Beer,Clubtails,Clubtails Sex On the Beach 1/16C,Southern Crown Partners,1/16C,6.84746E+11,Buck Magement (Blue Water),2.99,5,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,Circle K,1.79,3.5,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,Refuel Market,1.99,3,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,GPM Southeast,2.39,4,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,7-Eleven,1.79,3,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,Spinx,1.99,3.5,1 · Charleston
Beyond Beer,MD AB,MD 2020 Spk Punch Sweet Blue Ras 1/16C,Southern Crown Partners,1/16C,18200262098,Parkers,2.79,4,1 · Charleston
